"Source","Target","Type","Weight"
"V10","V93","Directed",0
"V10","V94","Directed",0
"V10","V95","Directed",0
"V10","V96","Directed",0
"V10","V97","Directed",0
"V10","V98","Directed",0
"V10","V99","Directed",0
"V10","V100","Directed",0
"V10","V101","Directed",0
"V10","V102","Directed",0
"V10","V103","Directed",0
"V10","V104","Directed",0
"V10","V105","Directed",0
"V10","V106","Directed",0
"V11","V12","Directed",0
"V11","V13","Directed",0
"V11","V14","Directed",0
"V11","V15","Directed",0
"V11","V16","Directed",0
"V11","V17","Directed",0
"V11","V18","Directed",0
"V11","V19","Directed",0
"V11","V20","Directed",0
"V11","V21","Directed",0
"V11","V22","Directed",0
"V11","V23","Directed",0
"V11","V24","Directed",0
"V11","V25","Directed",0
"V11","V26","Directed",0
"V11","V27","Directed",0
"V11","V28","Directed",0
"V11","V29","Directed",0
"V11","V30","Directed",0
"V11","V31","Directed",0
"V11","V32","Directed",0
"V11","V33","Directed",0
"V11","V34","Directed",0
"V11","V35","Directed",0
"V11","V36","Directed",0
"V11","V37","Directed",0
"V11","V38","Directed",0
"V11","V39","Directed",0
"V11","V40","Directed",0
"V11","V41","Directed",0
"V11","V42","Directed",0
"V11","V43","Directed",0
"V11","V44","Directed",0
"V11","V45","Directed",0
"V11","V46","Directed",0
"V11","V47","Directed",0
"V11","V48","Directed",0
"V11","V49","Directed",0
"V11","V50","Directed",0
"V11","V51","Directed",0
"V11","V52","Directed",0
"V11","V53","Directed",0
"V11","V54","Directed",0
"V11","V55","Directed",0
"V11","V56","Directed",0
"V11","V57","Directed",0
"V11","V58","Directed",0
"V11","V59","Directed",0
"V11","V60","Directed",0
"V11","V61","Directed",0
"V11","V62","Directed",0
"V11","V63","Directed",0
"V11","V64","Directed",0
"V11","V65","Directed",0
"V11","V66","Directed",0
"V11","V67","Directed",0
